
F1_score_90	Average Jaccard Index	False Negatives	False Positives	True Positives	Detected Objects	False Discovery Rate
1	0.506073	0.778834	177.0	177.0	191.0	368.0	0.480978
2	0.563823	0.815794	160.0	152.0	208.0	360.0	0.422222
3	0.563956	0.811614	157.0	153.0	211.0	364.0	0.420330
4	0.565379	0.823982	161.0	144.0	207.0	351.0	0.410256
5	0.611156	0.827216	145.0	133.0	223.0	356.0	0.373596
6	0.592504	0.818784	150.0	136.0	218.0	354.0	0.384181
7	0.600741	0.823599	148.0	137.0	220.0	357.0	0.383754
8	0.581451	0.819916	155.0	138.0	213.0	351.0	0.393162
9	0.604200	0.831521	148.0	135.0	220.0	355.0	0.380282
10	0.591643	0.821840	150.0	138.0	218.0	356.0	0.387640
11	0.584672	0.825169	153.0	138.0	215.0	353.0	0.390935
12	0.599631	0.824925	149.0	142.0	219.0	361.0	0.393352
13	0.624196	0.823061	140.0	129.0	228.0	357.0	0.361345
14	0.614652	0.830003	141.0	137.0	227.0	364.0	0.376374
15	0.600014	0.804572	145.0	149.0	223.0	372.0	0.400538
16	0.622171	0.839160	142.0	127.0	226.0	353.0	0.359773
17	0.621631	0.846837	142.0	123.0	226.0	349.0	0.352436
18	0.603786	0.820724	145.0	140.0	223.0	363.0	0.385675
19	0.599139	0.829008	149.0	138.0	219.0	357.0	0.386555
20	0.591762	0.820556	148.0	139.0	220.0	359.0	0.387187
21	0.597882	0.826276	149.0	132.0	219.0	351.0	0.376068
22	0.612320	0.827696	141.0	137.0	227.0	364.0	0.376374
23	0.631183	0.845877	135.0	125.0	233.0	358.0	0.349162
24	0.617170	0.826122	141.0	137.0	227.0	364.0	0.376374
25	0.618811	0.816927	135.0	140.0	233.0	373.0	0.375335
26	0.634803	0.836710	135.0	128.0	233.0	361.0	0.354571
27	0.633380	0.832196	135.0	126.0	233.0	359.0	0.350975
28	0.623194	0.836233	138.0	131.0	230.0	361.0	0.362881
29	0.613373	0.819439	139.0	138.0	229.0	367.0	0.376022
30	0.623507	0.829364	136.0	134.0	232.0	366.0	0.366120
31	0.623899	0.815859	134.0	135.0	234.0	369.0	0.365854
32	0.624036	0.835674	137.0	132.0	231.0	363.0	0.363636
33	0.621664	0.823723	135.0	136.0	233.0	369.0	0.368564
34	0.617810	0.815792	137.0	141.0	231.0	372.0	0.379032
35	0.624129	0.827574	136.0	135.0	232.0	367.0	0.367847
36	0.635558	0.832527	133.0	129.0	235.0	364.0	0.354396
37	0.639361	0.831009	131.0	128.0	237.0	365.0	0.350685
38	0.614227	0.822955	139.0	135.0	229.0	364.0	0.370879
39	0.620767	0.819491	136.0	137.0	232.0	369.0	0.371274
40	0.629434	0.832818	135.0	135.0	233.0	368.0	0.366848
41	0.617918	0.836705	138.0	137.0	230.0	367.0	0.373297
42	0.623272	0.820886	133.0	136.0	235.0	371.0	0.366577
43	0.632318	0.835881	134.0	133.0	234.0	367.0	0.362398
44	0.619638	0.828332	137.0	139.0	231.0	370.0	0.375676
45	0.610029	0.810791	140.0	144.0	228.0	372.0	0.387097
46	0.631708	0.819701	132.0	137.0	236.0	373.0	0.367292
47	0.618123	0.830114	139.0	136.0	229.0	365.0	0.372603
48	0.617584	0.815485	138.0	142.0	230.0	372.0	0.381720
49	0.627460	0.825720	134.0	134.0	234.0	368.0	0.364130
50	0.607689	0.818210	140.0	143.0	228.0	371.0	0.385445
