   Threshold        F1   Jaccard
0       0.50  0.905607  0.846837
1       0.55  0.896734  0.846837
2       0.60  0.889692  0.846837
3       0.65  0.881005  0.846837
4       0.70  0.867082  0.846837
5       0.75  0.828330  0.846837
6       0.80  0.782644  0.846837
7       0.85  0.720861  0.846837
8       0.90  0.621631  0.846837
9       0.95  0.191255  0.846837
   Threshold        F1   Jaccard
0       0.50  0.920647  0.845877
1       0.55  0.916103  0.845877
2       0.60  0.904125  0.845877
3       0.65  0.897199  0.845877
4       0.70  0.864902  0.845877
5       0.75  0.828496  0.845877
6       0.80  0.786133  0.845877
7       0.85  0.749658  0.845877
8       0.90  0.631183  0.845877
9       0.95  0.232469  0.845877
   Threshold        F1   Jaccard
0       0.50  0.906447  0.831009
1       0.55  0.896070  0.831009
2       0.60  0.891378  0.831009
3       0.65  0.884743  0.831009
4       0.70  0.852756  0.831009
5       0.75  0.824235  0.831009
6       0.80  0.776844  0.831009
7       0.85  0.738810  0.831009
8       0.90  0.639361  0.831009
9       0.95  0.231175  0.831009
